city,electoral_district,candidate,candidate_party,ticket,ticket_percentage,elected
宜蘭縣,第01選區,黃定和,無黨籍及未經政黨推薦,33026,12.56,False
宜蘭縣,第01選區,陳歐珀,民主進步黨,121526,46.23,True
宜蘭縣,第01選區,許育嘉,勞動黨,1730,0.66,False
宜蘭縣,第01選區,林獻山,台灣維新,1618,0.62,False
宜蘭縣,第01選區,呂國華,中國國民黨,89380,34.0,False
宜蘭縣,第01選區,孫博萮,無黨籍及未經政黨推薦,15570,5.92,False
新竹縣,第01選區,林為洲,中國國民黨,74087,49.88,True
新竹縣,第01選區,劉復嵐,無黨籍及未經政黨推薦,1176,0.79,False
新竹縣,第01選區,余筱菁,綠黨,7142,4.81,False
新竹縣,第01選區,吳旭智,國會政黨聯盟,9623,6.48,False
新竹縣,第01選區,周江杰,民主進步黨,54862,36.93,False
新竹縣,第01選區,傅家賢,無黨籍及未經政黨推薦,1655,1.11,False
新竹縣,第02選區,林碩彥,台灣民眾黨,17902,11.05,False
新竹縣,第02選區,陳冠宇,綠黨,4121,2.54,False
新竹縣,第02選區,林思銘,中國國民黨,58575,36.17,True
新竹縣,第02選區,鄭朝方,民主進步黨,56075,34.62,False
新竹縣,第02選區,黃秀龍,無黨籍及未經政黨推薦,1072,0.66,False
新竹縣,第02選區,劉士睿,台灣基進,1245,0.77,False
新竹縣,第02選區,邱靖雅,國會政黨聯盟,22964,14.18,False
苗栗縣,第01選區,鍾林芷綸,台澎黨,632,0.42,False
苗栗縣,第01選區,羅貴星,民主進步黨,56622,37.98,False
苗栗縣,第01選區,朱哲成,台灣民眾黨,16566,11.11,False
苗栗縣,第01選區,陳超明,中國國民黨,73154,49.07,True
苗栗縣,第01選區,朱英濠,無黨籍及未經政黨推薦,1046,0.7,False
苗栗縣,第01選區,曾國良,無黨籍及未經政黨推薦,1050,0.7,False
苗栗縣,第02選區,温俊勇,無黨籍及未經政黨推薦,19418,11.53,False
苗栗縣,第02選區,徐定禎,民主進步黨,50629,30.07,False
苗栗縣,第02選區,曾宛菁,中華統一促進黨,2803,1.66,False
苗栗縣,第02選區,林名哲,勞動黨,1706,1.01,False
苗栗縣,第02選區,林昱同,台灣基進,2694,1.6,False
苗栗縣,第02選區,徐志榮,中國國民黨,91144,54.13,True
彰化縣,第01選區,柯呈枋,中國國民黨,88690,47.97,False
彰化縣,第01選區,陳秀寳,民主進步黨,96191,52.03,True
彰化縣,第02選區,張瀚天,中國國民黨,78177,42.48,False
彰化縣,第02選區,黃秀芳,民主進步黨,83013,45.11,True
彰化縣,第02選區,黄玉芬,無黨籍及未經政黨推薦,22834,12.41,False
彰化縣,第03選區,謝衣鳯,中國國民黨,97396,51.15,True
彰化縣,第03選區,楊麗香,無黨籍及未經政黨推薦,8518,4.47,False
彰化縣,第03選區,劉銀鬃,台澎黨,1116,0.59,False
彰化縣,第03選區,洪宗熠,民主進步黨,83380,43.79,False
彰化縣,第04選區,林怡彣,勞工黨,2451,1.26,False
彰化縣,第04選區,洪祐輔,無黨籍及未經政黨推薦,1507,0.78,False
彰化縣,第04選區,蕭翠瑩,綠黨,3831,1.97,False
彰化縣,第04選區,陳素月,民主進步黨,103740,53.42,True
彰化縣,第04選區,蕭景田,中國國民黨,78603,40.48,False
彰化縣,第04選區,陳志傑,安定力量,2913,1.5,False
彰化縣,第04選區,何倍爾,勞動黨,1138,0.59,False
南投縣,第01選區,馬文君,中國國民黨,73480,53.57,True
南投縣,第01選區,蔡培慧,民主進步黨,63691,46.43,False
